Image,Rights,Caption
urn:cite:ecod:codsang570.csg-0570_072,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 72r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 72."
urn:cite:ecod:codsang570.csg-0570_073,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 73r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 73."
urn:cite:ecod:codsang570.csg-0570_074,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 74r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 74."
urn:cite:ecod:codsang570.csg-0570_075,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 75r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 75."
urn:cite:ecod:codsang570.csg-0570_076,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 76r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 76."
urn:cite:ecod:codsang570.csg-0570_077,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 77r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 77."
urn:cite:ecod:codsang570.csg-0570_078,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 78r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 78."
urn:cite:ecod:codsang570.csg-0570_079,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 79r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 79."
urn:cite:ecod:codsang570.csg-0570_080,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 80r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 80."
urn:cite:ecod:codsang570.csg-0570_081,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 81r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 81."
urn:cite:ecod:codsang570.csg-0570_082,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 82r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 82."
urn:cite:ecod:codsang570.csg-0570_083,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 83r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 83."
